Sys,Is Constrained?,GEMBA-ESA-GPT4.1 Score
Gemini-2.5-Pro,No,90.4578
GPT-4.1,No,89.8042
Shy,Yes,88.7018
CommandA-MT,No,88.0151
DeepSeek-V3,No,87.8795
Mistral-Medium,No,86.3705
Claude-4,No,85.1807
Qwen3-235B,No,84.8855
UvA-MT,No,84.6054
CommandA,No,83.6837
GemTrans,No,83.503
TowerPlus-72B,No,81.8102
ONLINE-W,No,81.0572
AyaExpanse-32B,No,80.9217
IRB-MT,Yes,79.8373
EuroLLM-22B,No,79.8193
ONLINE-B,No,78.6295
TowerPlus-9B,Yes,78.5602
Gemma-3-27B,No,78.2651
TranssionTranslate,No,77.0723
IR-MultiagentMT,No,76.9789
SalamandraTA,Yes,76.9036
Laniqo,Yes,75.3223
Gemma-3-12B,Yes,74.6867
AyaExpanse-8B,Yes,73.8554
EuroLLM-9B,Yes,73.5331
Llama-4-Maverick,No,71.9157
CommandR7B,Yes,69.3705
Llama-3.1-8B,Yes,64.1416
NLLB,Yes,61.5572
Qwen2.5-7B,Yes,61.5331
ONLINE-G,No,60.5783
Mistral-7B,Yes,52.0512
